Sample_ID,birth,sampling_date,age,sex,environment,SLC12A5_1_methylation_rate_ave,SLC12A5_2_methylation_rate_ave,SLC12A5_3_methylation_rate_ave,SLC12A5_4_methylation_rate_ave,POU4F2_1_methylation_rate_ave,POU4F2_2_methylation_rate_ave,POU4F2_3_methylation_rate_ave,POU4F2_4_methylation_rate_ave,VGF_1_methylation_rate_ave,VGF_2_methylation_rate_ave,VGF_3_methylation_rate_ave,SCGN_1_methylation_rate_ave,SCGN_2_methylation_rate_ave
210607 Mantarou,2006/2/1,2021/6/7,0.276411663,M,captive,0.374091998,0.38779312,0.485685016,0.43578198,0.153917111,0.385988841,0.2517055,0.393271124,-0.129549565,0.715258663,0.368092482,0.022440934,0.128135871
201111 Moriko,2001/2/1,2020/11/11,0.714446449,F,captive,0.752796147,0.388367741,0.43557529,0.495701629,0.152008242,0.316293398,0.399586433,0.001333122,-0.500655802,0.237992051,0.375297008,0.682895071,0.179163732
200606 Hokuto,1999/2/1,2020/6/6,0.869441168,M,captive,0.668260927,0.8144494,0.739432137,0.730995862,-0.913140236,0.448596611,0.667370824,-0.338346479,0.529946459,1.068537864,-0.218476035,-0.012092615,0.145702839
211027 Koron,1999/2/1,2021/10/27,1.007034433,F,captive,0.557819753,1.182494312,0.702116384,0.990550246,-0.239786964,1.273129141,0.892189809,0.098465584,1.167086685,0.627788092,1.297476374,0.61469131,0.795680678
210126 Raisa,1991/2/1,2021/1/26,1.72391851,F,captive,1.57803714,1.834976744,1.790670211,1.731800153,3.135092086,1.124878665,1.692045798,2.502920022,1.683505605,1.499096889,1.229033375,0.575841067,1.351968018
210427 Kiko,1990/2/1,2021/4/27,1.847435064,F,captive,1.112411697,1.545942254,1.347856607,1.535088329,0.462676549,1.074083681,1.200441617,0.460866229,1.579551147,2.10204937,1.928472803,0.927219935,1.119414814
220531 Inaho,1993/2/1,2022/5/31,1.658871315,F,captive,2.339535851,1.89732315,2.128999706,1.913897429,3.565064657,1.746821898,2.318041772,1.807656088,2.377653114,2.360214939,2.148210855,1.763795175,2.658615875
220205 Kako,1995/2/1,2022/2/5,1.429975459,F,captive,1.317273258,1.472965355,1.570329573,1.483937408,1.019111641,1.262497633,0.993108553,1.218613033,1.349286433,1.46173082,1.483593304,0.787359059,1.499195945
220211 Purinpurin,1988/2/1,2022/2/11,2.123780582,F,captive,1.584854497,1.597370856,1.775033133,1.900452045,0.513738774,2.63219028,2.255092456,0.877797379,2.184275466,2.130923151,1.747759268,0.652678215,1.767719609
110809 SBT14,2011/2/1,2011/8/9,-1.189805702,F,wild,-0.774291689,-1.435480114,-0.876162279,-1.325271131,-0.736569924,-1.108919348,-0.821930053,-0.938750056,0.857458891,-0.165391651,-0.603317815,-1.13356964,-1.99663081
