Sample_ID,birth,sampling_date,age,sex,environment,SLC12A5_1_methylation_rate_ave,SLC12A5_2_methylation_rate_ave,SLC12A5_3_methylation_rate_ave,SLC12A5_4_methylation_rate_ave,POU4F2_1_methylation_rate_ave,POU4F2_2_methylation_rate_ave,POU4F2_3_methylation_rate_ave,POU4F2_4_methylation_rate_ave,VGF_1_methylation_rate_ave,VGF_2_methylation_rate_ave,VGF_3_methylation_rate_ave,SCGN_1_methylation_rate_ave,SCGN_2_methylation_rate_ave
110809 SBT14,2011/2/1,2011/8/9,0.517808219,F,wild,32.705,14.91,17.195,12.98,21.6,21.78,25.365,22.815,13.945,12.575,17.98,4.39,2.625
110809 SBT15,2011/2/1,2011/8/9,0.517808219,F,wild,23.345,15.07,8.33,13.54,25.935,17.57,19.95,20.07,9.22,6.03,10.055,5.575,9.935
140608 LL,2013/2/1,2014/6/8,1.347945205,M,wild,33.825,28.865,25.42,16.595,22.735,20.445,18.505,16.06,7.565,7.37,14.58,6.875,12.52
130613 Biko,2011/2/1,2013/6/13,2.362226277,F,wild,30.46,20.375,15.95,16.62,26.51,25.175,25.29,22.205,6.965,7.425,12.12,9.475,10.57
13B09 Guri,2010/2/1,2013/8/14,3.531827515,F,wild,30.94,25.52,17.385,23.66,24.765,28.83,30.045,28.12,8.725,5.51,10.425,10.585,11.855
140826 Drum,2004/2/1,2014/8/26,10.56470881,F,wild,41.15,38.455,27.43,30.875,31.96,33.275,36.215,37.355,11.695,10.465,24.715,12.805,17.79
140825 Kiriko,2001/2/1,2014/8/25,13.56190104,F,wild,44.995,37.41,28.465,31.56,26.62,29.01,33.495,31.075,9.895,13.025,22.21,9.7,15.45
160806 Rich,2002/2/1,2016/8/6,14.50994707,F,wild,46.49,48.605,30.505,41.155,28.65,34.28,39.535,33.175,13.775,14.455,15.62,12.47,16.48
200829 Wacky,2002/2/1,2020/8/29,18.57291066,F,wild,55.275,45.465,35.695,41.28,25.595,40.125,42.475,30.31,14.815,12.705,19.47,10.94,14.925
220602 Button,2018/2/1,2022/6/2,4.331872946,F,wild,38.725,32.01,22.925,24.92,29.975,31.88,32.61,31.66,9.49,13.19,24.69,10.515,16.51
220822 Hatch,2007/2/1,2022/8/22,15.55373032,F,wild,43.375,43.095,30.645,42.77,32.84,35.14,37.635,38.255,9.955,11.155,22.77,15.165,17.43
220823 B1_Betty,2014/2/1,2022/8/23,8.556434439,F,wild,43.505,40.715,30.915,33.04,30.41,29.285,32.025,29.985,8.865,15.27,21.545,10.355,16.61
220823 Linda,1996/2/1,2022/8/23,26.55647942,F,wild,61.955,57.695,45.68,53.445,42.57,44.58,46.88,46.78,11.8,16.455,27.34,16.64,25.075
220824 Crayon,2015/2/1,2022/8/24,7.559206023,F,wild,43.53,35.275,25.79,30.34,30.225,31.175,32.375,35.08,8.7,10.905,19.535,11.41,15.86
180722 18B16,2017/2/1,2018/7/22,1.468493151,F,wild,25.115,23.92,18.765,23.775,24.915,20.5,21,25.975,6.905,6.975,16.89,7,10.885
