Sample_ID,birth,sampling_date,age,sex,environment,SLC12A5_1_methylation_rate_ave,SLC12A5_2_methylation_rate_ave,SLC12A5_3_methylation_rate_ave,SLC12A5_4_methylation_rate_ave,POU4F2_1_methylation_rate_ave,POU4F2_2_methylation_rate_ave,POU4F2_3_methylation_rate_ave,POU4F2_4_methylation_rate_ave,VGF_1_methylation_rate_ave,VGF_2_methylation_rate_ave,VGF_3_methylation_rate_ave,SCGN_1_methylation_rate_ave,SCGN_2_methylation_rate_ave
180706 Kiriko,2001/2/1,2018/7/6,0.432654357,F,wild,0.046306652,0.061979622,0.42314302,0.020908769,-0.770286548,-0.053322561,-0.092406671,-0.608001853,-1.112553448,1.949724167,-0.13053852,0.029124779,0.028077012
140815 Linda,1996/2/1,2014/8/15,0.554153704,F,wild,0.419145009,0.216681274,0.449814142,0.393108984,-0.58133849,0.281067234,0.616571155,-0.134791372,-0.212130632,0.400763245,-0.565701466,-0.015865715,0.251979607
200829 Wacky,2002/2/1,2020/8/29,0.558350711,F,wild,0.735641666,0.270071034,0.403239197,0.289193559,-0.441976248,1.040748904,0.862283875,-0.231664486,1.16794521,-0.228646968,-0.456573916,-0.100103234,-0.046557186
210818 Rich,2002/2/1,2021/8/18,0.664552104,F,wild,0.748876294,0.949021527,0.791761814,0.667929335,0.360792021,0.534943758,0.549759381,0.38538789,0.679705045,0.791943083,0.464273989,0.412022592,0.370841478
210624 Kiriko,2001/2/1,2021/6/24,0.757561946,F,wild,0.678543703,0.582047338,0.4657372,0.4241529,0.931289887,1.080356239,0.638657691,1.17505054,0.754535824,0.273768842,0.153058384,1.073478565,0.832467815
160705 Linda,1996/2/1,2016/7/5,0.760868066,F,wild,0.578338668,0.407726558,0.359052711,0.897981093,-0.074519251,0.869333553,0.810380514,0.59733452,0.527590019,-0.326905411,-0.065870343,0.454141352,0.454689775
210817 Linda,1996/2/1,2021/8/17,1.321260026,F,wild,1.276370723,1.156791314,1.11300951,1.13816297,1.137984448,1.280340816,1.069897319,2.117948842,1.123782783,0.211662091,0.139585847,1.438188732,1.607373503
220602 Button,2018/2/1,2022/6/2,-1.001054946,F,wild,-0.515975941,-0.595421993,-0.613448061,-0.780024266,0.015257174,-0.02994774,-0.227134545,-0.073144846,-0.138526587,-0.138731224,0.246692516,-0.181469019,0.245529738
220822 Guri,2010/2/1,2022/8/22,-0.100757193,F,wild,0.120798697,0.313812041,0.037406938,0.198676036,0.119126411,0.430406366,0.514973086,0.452318405,-0.625540017,-0.513225666,0.036520939,0.722169821,0.638050336
220822 Hatch,2007/2/1,2022/8/22,0.227747914,F,wild,-0.164312988,0.117620757,0.001181981,0.386573422,0.31433794,0.393396233,0.327789688,0.70125295,-0.024440317,-0.516006565,-0.011980194,0.708768398,0.415069151
220823 B1_Betty,2014/2/1,2022/8/23,-0.538461895,F,wild,-0.15448155,-0.03547277,0.022678109,-0.24933669,0.060667343,-0.366934738,-0.291737665,-0.269826621,-0.291868347,0.246886816,-0.177018773,-0.212100844,0.263957935
220823 Linda,1996/2/1,2022/8/23,1.432558232,F,wild,1.240826296,1.056765921,1.198197871,1.084244589,1.330064242,1.619275714,1.348739844,1.70227512,0.428224559,0.466577862,0.603714748,0.991155535,1.823904819
220824 Crayon,2015/2/1,2022/8/24,-0.647659249,F,wild,-0.152590889,-0.385400831,-0.385350254,-0.425796845,0.041354972,-0.121499121,-0.253086225,0.328438242,-0.332350572,-0.562354887,-0.447816767,-0.010122247,0.125746457
220824 Drum,2004/2/1,2022/8/24,0.55685178,F,wild,0.730725948,0.106685505,0.419560332,0.282004442,0.649955624,0.860892646,0.58178486,1.208515798,0.283469937,0.612111593,1.05032935,0.411065348,0.920923161
180722 18B16,2017/2/1,2018/7/22,-1.314597452,F,wild,-1.54525181,-1.115811333,-0.944647668,-0.854856443,-0.512962259,-1.507755844,-1.509257997,-0.740688662,-0.772748107,-1.290950509,-0.804165371,-0.854411926,-0.791056349
